Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,05022024,2874361421,0002392
Trade Date <05-FEB-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,123,ABMINTLLTD,EQ,6899,3496,50.67
20,124,ABSLAMC,EQ,130006,87116,67.01
20,125,ABSLBANETF,EQ,42854,31800,74.21
20,126,ABSLLIQUID,EQ,30968,30756,99.32
20,127,ABSLNN50ET,EQ,82447,59169,71.77
20,128,ACC,EQ,234406,73741,31.46
20,129,ACCELYA,EQ,26478,12264,46.32
20,130,ACCENTMIC,SM,156000,115000,73.72
20,131,ACE,EQ,501859,199985,39.85
20,132,ACEINTEG,EQ,18437,11726,63.60
20,133,ACI,EQ,524877,285869,54.46
20,134,ACL,EQ,32918,23400,71.09
20,135,ACLGATI,EQ,685468,379770,55.40
20,136,ACSAL,SM,18000,15000,83.33
20,137,ADANIENSOL,EQ,1194592,589830,49.38
20,138,ADANIENT,EQ,2191195,774733,35.36
20,139,ADANIGREEN,EQ,1070961,566194,52.87
20,140,ADANIPORTS,EQ,5611298,2705063,48.21
20,141,ADFFOODS,EQ,265283,131992,49.76
20,142,ADORWELD,EQ,40867,21215,51.91
20,143,ADSL,EQ,607586,392276,64.56
20,144,ADVANIHOTR,EQ,185250,125448,67.72
20,145,ADVENZYMES,EQ,166521,87926,52.80
20,146,AEGISCHEM,EQ,1009994,395700,39.18
